"Level","casetype","L2_caseid","Level1CaseID","l1casecreateddatetime","l1_firstresolution_duration_mins","l2casecreateddatetime","l2_firstresolution_duration_mins","Level3CaseID","earliestcasecreateddatetime","L2_business_line","customerproductname","acknowledgmentdate","department","natureofcomplaint","additional_detail","L2_casesummary","L2_resolutionsummary","iscomplaintresolvedbysatisfaction","customer_type","L2_casecreateddatetime","L2_caseresolveddatetime","FCR","firstswrsentdate","casecurrentstatus","l1tol2escalationtype","CompensationDescription","costtoresolve","RedressCost","ReimbursementCost","GoodwillCost","fcaccase","l3_agreed_with_l2","FCAC_Cat","FCAC_Issue","relationshipindicator","customerpostalcode","escalated","primary_transit","postalcode","senior","is_escalated_from_L1","L1_caseid","L1_casesummary","L1_resolutionsummary","L1_casecreateddatetime","L1_caseresolveddatetime","L1_natureofcomplaint","L1_customerproductname","L1_intake_channel","L1_department","L1_FCR","L1_casecurrentstatus","L1_FCAC_Cat","L1_FCAC_Issue","L1_l1to2escalationtype","row_id","complaint_theme","sub_theme","touchpoint_mentioned_in_text","root_cause","escalation_reason","l1_resolution_gap","avoidable_at_l1","recurring_pattern","severity_level","one_sentence_finding","evidence_phrases","_parse_status","_raw_response","error"
"L2","Complaint","Nuwgxgygpga-p","ioow8867xygg15abcellaxygg7","2026-02-15 12:40:08.0","19403.17","2026-03-01 00:03:18.0","12420.83","","2026-02-15 12:40:08.0","DigitalBanking","ScotiaCard/Self-Service Bkg. Access","2026-02-15 12:41:21.0","ScotiaOnLine","DigitalBanking","","The client is requesting an update on when the issue with their transaction will be resolved. The client would like to receive written confirmation once the matter has been fully resolved including confirmation related to the second‑level (2SV) issue.","After reviewing the file it was confirmed that the client contacted the Global Client Experience Centres on February 15 2026 regarding issues with two‑step verification (2SV). The situation has now been resolved. Two‑step verification was removed from the client’s profile and the client can re‑enroll at any time. Re‑enrolling should fully resolve the access difficulties previously experienced.Scotiabank would also like to remind the client that the bank uses industry‑leading security measures to protect all accounts. Two‑step verification is an essential safeguard that provides an additional layer of protection when using digital platforms and cannot be disabled as it is designed to protect the client’s identity accounts and personal information.","Resolved","SomeBank","2026-03-01 00:03:18.0","2026-03-09 16:04:08.0","0.0","2026-03-09 00:00:00.0","Resolved-Completed","","","0.0","","","","True","","Debit Card","Internet banking / Services","","J7J0B6","False","","","","True","ioow8867xygg15abcellaxygg7","cx would like to be informed when the issue will be resolved","","2026-02-15 12:40:08.0","2026-03-01 00:03:18.0","","Preferred Package","CC","Service","0.0","Resolved-TransferredOPCC","Credit Card","Digital Issues – SOL / .COM / SCO","","0","Digital Banking","Authentication/Login","Contact Centre","Technical Issue","Resolution Delay","Problem Diagnosis & Resolution","Partly","Unknown","Medium","The client escalated their complaint due to a prolonged delay in resolving a two-step verification issue that was preventing them from accessing their digital banking.","['requesting an update on when the issue...will be resolved', 'issues with two‑step verification (2SV)', 'contacted the Global Client Experience Centres on February 15 2026']","ok","```json
{
  ""complaint_theme"": ""Digital Banking"",
  ""sub_theme"": ""Authentication/Login"",
  ""touchpoint_mentioned_in_text"": ""Contact Centre"",
  ""root_cause"": ""Technical Issue"",
  ""escalation_reason"": ""Resolution Delay"",
  ""l1_resolution_gap"": ""Problem Diagnosis & Resolution"",
  ""avoidable_at_l1"": ""Partly"",
  ""recurring_pattern"": ""Unknown"",
  ""severity_level"": ""Medium"",
  ""one_sentence_finding"": ""The client escalated their complaint due to a prolonged delay in resolving a two-step verification issue that was preventing them from accessing their digital banking."",
  ""evidence_phrases"": [
    ""requesting an update on when the issue...will be resolved"",
    ""issues with two‑step verification (2SV)"",
    ""contacted the Global Client Experience Centres on February 15 2026""
  ]
}
```",""
"L2","Complaint","Nuwgxgygpgy-a","ioow8867xygg16abcellaxyella4","2026-02-16 11:35:28.0","19465.6","2026-03-02 00:00:54.0","5289.68","","2026-02-16 11:35:28.0","AutomotiveFinance","Scotia Plan Loan","2026-02-16 11:46:18.0","DFC","TransactionHandling","","The customer was advised that the automatic payment on their Scotia Plan Loan had been temporarily deactivated until the payout was completed and was assured that any resulting missed payment would not affect their credit score. The customer was later informed that according to policy they remain fully responsible for ensuring all payments are made on time and that any missed returned or unprocessed payment may be reported and negatively impact their credit history. As a result of receiving incorrect information the customer is requesting confirmation that no negative impact has been reported to their credit bureau due to the missed payments that occurred during the payout delay.","Apologized to customer for frustration. Confirmed that the customer’s SPL was fully paid out and closed effective January 27 2026.  A payment of CAD $22254.04 was received on that date but a processing delay resulted in additional withdrawals on February 3 and February 17 which were later refunded in the amount of CAD $605.86. The account has been reported as paid closed and with a zero balance to TransUnion and a request has been submitted to Equifax to ensure the same. Acknowledged that the customer’s experience did not meet service expectations and appreciates the concern being brought forward.","Resolved","SomeBank","2026-03-02 00:00:54.0","2026-03-05 16:10:35.0","0.0","2026-03-05 00:00:00.0","Resolved-Completed","","","0.0","","","","True","","Loan","Closure","","J8P0A8","False","","","","True","ioow8867xygg16abcellaxyella4","I would like to file a complaint regarding the handling of a customer’s inquiry related to the automatic payment settings on their loan account. The customer was informed that the automatic payment had been deactivated so that we could wait until the loan payout was completed. During this interaction  the customer was assured that the missed payment resulting from this deactivation would not affect their credit score. However  according to our internal resources and loan policy  the customer remains fully responsible for ensuring that all payments due on the loan are successfully made  regardless of any system adjustments. The resource clearly states that if a payment bounces or is not completed  it will be reported accordingly and can negatively impact the customer’s credit history. This means the customer received incorrect information that conflicts with the actual policy  potentially putting them at risk of unintended credit damage. Providing inaccurate assurances undermines customer trust and may lead to escalations or reputational impact.","","2026-02-16 11:35:28.0","2026-03-02 00:01:04.0","","Scotia Plan Loan","CC","Service","0.0","Resolved-TransferredOPCC","Service Issues","Misinformation","","1","Advice & Information","Incorrect Credit Impact Advice","Contact Centre","Agent Error","Inadequate L1 Resolution","Failure to Resolve","Yes","Recurring","High","The customer was given incorrect advice that missed payments during a loan payout would not affect their credit, causing distress and requiring credit bureau corrections after a processing delay.","['assured that any resulting missed payment would not affect their credit score', 'received incorrect information that conflicts with the actual policy', 'requesting confirmation that no negative impact has been reported']","ok","```json
{
  ""complaint_theme"": ""Advice & Information"",
  ""sub_theme"": ""Incorrect Credit Impact Advice"",
  ""touchpoint_mentioned_in_text"": ""Contact Centre"",
  ""root_cause"": ""Agent Error"",
  ""escalation_reason"": ""Inadequate L1 Resolution"",
  ""l1_resolution_gap"": ""Failure to Resolve"",
  ""avoidable_at_l1"": ""Yes"",
  ""recurring_pattern"": ""Recurring"",
  ""severity_level"": ""High"",
  ""one_sentence_finding"": ""The customer was given incorrect advice that missed payments during a loan payout would not affect their credit, causing distress and requiring credit bureau corrections after a processing delay."",
  ""evidence_phrases"": [
    ""assured that any resulting missed payment would not affect their credit score"",
    ""received incorrect information that conflicts with the actual policy"",
    ""requesting confirmation that no negative impact has been reported""
  ]
}
```",""
"L2","Complaint","Nuwgxgygpgy-aggy","ioow8867xygg16abc1114","2026-02-16 20:02:30.0","18959.55","2026-03-02 00:02:02.0","3557.85","","2026-02-16 20:02:30.0","DigitalBanking","Other","2026-02-16 20:09:43.0","ABM","SystemIssues","","The customer is complaining about being unable to access the ABM to make a deposit at 31 Tapscott Road in Toronto even though the posted ABM hours indicate access should be available until 11:00 p.m. The customer is stating that when they attempted to use the ABM at 8:00 p.m. the door was locked which prevented them from completing their banking. The customer would like the bank to honour the posted after‑hours ABM access and ensure the machine is available during the hours displayed at the branch.","We informed the customer that ABM access at the 31 Tapscott Road branch is temporarily restricted during the winter months due to safety‑related issues in the vestibule and that the adjusted access hours are posted on the branch doors. We also explained that the customer visited on a statutory holiday when access procedures differ which is why the doors remained locked. We apologized for the inconvenience and offered support with alternative deposit options. CCAO OBSI disclosure provided.","Resolved","SomeBank","2026-03-02 00:02:02.0","2026-03-04 11:19:53.0","0.0","2026-03-04 00:00:00.0","Resolved-Completed","","","0.0","","","","True","","Other","Other","","M1B5K5","False","","","","True","ioow8867xygg16abc1114","Cx is upset because he is unable to access the ABM to make a deposit. He maintained the ABM hours says 11pm but as at 8:00pm today at 31 Tapscott Road Toronto Ontario the door is locked.","","2026-02-16 20:02:30.0","2026-03-02 00:02:03.0","ABM Accessibility","Preferred Package","CC","Service","0.0","Resolved-TransferredOPCC","Service Issues","Other","","2","Branch & ABM Experience","ABM Accessibility","ABM","Conflicting Information","Unresolved at L1","Failure to Investigate","Yes","Recurring","Low","The complaint escalated because the Level 1 agent failed to investigate and explain why ABM access was restricted due to seasonal and holiday-specific hours, which contradicted the standard posted hours.","['unable to access the ABM', 'posted ABM hours indicate access should be available', 'door was locked', 'temporarily restricted during the winter months', 'visited on a statutory holiday']","ok","```json
{
  ""complaint_theme"": ""Branch & ABM Experience"",
  ""sub_theme"": ""ABM Accessibility"",
  ""touchpoint_mentioned_in_text"": ""ABM"",
  ""root_cause"": ""Conflicting Information"",
  ""escalation_reason"": ""Unresolved at L1"",
  ""l1_resolution_gap"": ""Failure to Investigate"",
  ""avoidable_at_l1"": ""Yes"",
  ""recurring_pattern"": ""Recurring"",
  ""severity_level"": ""Low"",
  ""one_sentence_finding"": ""The complaint escalated because the Level 1 agent failed to investigate and explain why ABM access was restricted due to seasonal and holiday-specific hours, which contradicted the standard posted hours."",
  ""evidence_phrases"": [
    ""unable to access the ABM"",
    ""posted ABM hours indicate access should be available"",
    ""door was locked"",
    ""temporarily restricted during the winter months"",
    ""visited on a statutory holiday""
  ]
}
```",""
"L2","Complaint","Nuwgxgygpgy-agg4","ioow8867xygg16abcggxy4ella","2026-02-16 12:22:57.0","19419.63","2026-03-02 00:02:33.0","15262.97","","2026-02-16 12:22:57.0","RetailProducts","Scotiabank Passport Visa Infinite card","2026-02-16 12:26:12.0","RetailLending","TransactionHandling","","The customer is complaining about a payment reversal and an unresolved request they made during a previous call. The customer is stating that on February 7 at 11:32 a.m. an advisor told them the task would be completed and to allow 48 hours for the change to be reflected but the advisor did not take any action. The customer would like the matter addressed properly as the promised action was not completed.","We advised the customer that we reviewed the matter and confirmed there was no record of the initial call regarding the payment reversal; however two duplicate credit card payments of $613.97 were successfully reversed on February 16 2026 and applied to their Ultimate Package account ending in 6081. We acknowledged that although a complaint was filed on their behalf the advisor did not complete the requested action within the timeframe communicated and we apologized for the delay and service lapse. We confirmed that coaching would be provided to the advisor to reinforce proper follow‑through and resolution of client requests. CCAO OBSI disclosure provided.","Resolved","SomeBank","2026-03-02 00:02:33.0","2026-03-12 15:25:31.0","0.0","2026-03-12 00:00:00.0","Resolved-Completed","","","0.0","","","","True","","Credit Card","Transaction","REL1","L8E3W6","False","","","Senior","True","ioow8867xygg16abcggxy4ella","cx called due to payment reversal","","2026-02-16 12:22:57.0","2026-03-02 00:02:35.0","","Scotiabank Passport Visa Infinite card","CC","Service","0.0","Resolved-TransferredOPCC","Credit Card","Telephone Banking / Services","","3","Service Quality","Advisor Error","Contact Centre","Employee Error","Failure to Resolve","Failure to Resolve","Partly","Recurring","Medium","The complaint escalated because an advisor failed to fulfill a promise to reverse a duplicate payment, requiring the customer to follow up and leading to a service breakdown.","['unresolved request they made during a previous call', 'advisor told them the task would be completed', 'advisor did not take any action', 'promised action was not completed']","ok","```json
{
  ""complaint_theme"": ""Service Quality"",
  ""sub_theme"": ""Advisor Error"",
  ""touchpoint_mentioned_in_text"": ""Contact Centre"",
  ""root_cause"": ""Employee Error"",
  ""escalation_reason"": ""Failure to Resolve"",
  ""l1_resolution_gap"": ""Failure to Resolve"",
  ""avoidable_at_l1"": ""Partly"",
  ""recurring_pattern"": ""Recurring"",
  ""severity_level"": ""Medium"",
  ""one_sentence_finding"": ""The complaint escalated because an advisor failed to fulfill a promise to reverse a duplicate payment, requiring the customer to follow up and leading to a service breakdown."",
  ""evidence_phrases"": [
    ""unresolved request they made during a previous call"",
    ""advisor told them the task would be completed"",
    ""advisor did not take any action"",
    ""promised action was not completed""
  ]
}
```",""
"L2","Complaint","Nuwgxgygpgy-agg7","ioow8867xygg16abc88","2026-02-16 16:42:38.0","19161.58","2026-03-02 00:04:12.0","3413.67","","2026-02-16 16:42:38.0","DigitalBanking","ScotiaCard/Self-Service Bkg. Access","2026-02-16 16:46:13.0","TeleScotia","SystemIssues","","The customer is making a complaint regarding the Telescotia service. They claim that there is a delay in the speech of the  interactive voice response (IVR) when they try to use the service and often have to disconnect and call back again to use the service. They want the service to be improved upon or they might cancel their services with the bank.","Customers complaint is about the speech cut off when using the interactive voice response to complete transactions. Their complaint has since been shared with the appropriate partner. The customer requested for compensation and a credit of CAD$50.00 is being added to their power chequing account and the customer accepted this credit.","Resolved","SomeBank","2026-03-02 00:04:12.0","2026-03-04 08:57:52.0","0.0","2026-03-04 00:00:00.0","Resolved-Completed","","CAD$50.00  which represents a one-time goodwill gesture for the negative experience and to help restore their confidence in Scotiabank.","50.0","","","50.0","True","","Debit Card","Telephone banking / Services / IVR","","L4N0Y9","False","","","Senior","True","ioow8867xygg16abc88","Customer have to wait a lot when using the Telephone banking  frequently she have to drop the call and try again  it is being happening for months.","","2026-02-16 16:42:38.0","2026-03-02 00:04:13.0","Telescotia","ScotiaCard/Self-Service Bkg. Access","CC","Service","0.0","Resolved-TransferredOPCC","Other","Telephone Banking / Services","","4","System/Technology Issue","IVR Performance","TeleScotia IVR","System Defect","Unresolved at L1","Failure to Resolve","Partly","Recurring","High","The customer escalated their complaint due to a persistent technical failure with the TeleScotia IVR system that was not resolved at the first point of contact, leading to a threat of attrition.","['delay in the speech of the interactive voice response', 'often have to disconnect and call back', 'it is being happening for months', 'might cancel their services with the bank']","ok","```json
{
  ""complaint_theme"": ""System/Technology Issue"",
  ""sub_theme"": ""IVR Performance"",
  ""touchpoint_mentioned_in_text"": ""TeleScotia IVR"",
  ""root_cause"": ""System Defect"",
  ""escalation_reason"": ""Unresolved at L1"",
  ""l1_resolution_gap"": ""Failure to Resolve"",
  ""avoidable_at_l1"": ""Partly"",
  ""recurring_pattern"": ""Recurring"",
  ""severity_level"": ""High"",
  ""one_sentence_finding"": ""The customer escalated their complaint due to a persistent technical failure with the TeleScotia IVR system that was not resolved at the first point of contact, leading to a threat of attrition."",
  ""evidence_phrases"": [
    ""delay in the speech of the interactive voice response"",
    ""often have to disconnect and call back"",
    ""it is being happening for months"",
    ""might cancel their services with the bank""
  ]
}
```",""
"L2","Complaint","Nuwgxgygpgy-agg9","ioow8867xygg16abc45","2026-02-16 12:24:01.0","13.77","2026-03-02 00:04:41.0","10694.63","","2026-02-16 12:24:01.0","AutomotiveFinance","Scotia Plan Loan","2026-02-16 12:33:34.0","DFC","TransactionHandling","","The customer is complaining about the long delays in processing the payout of her Scotia Plan Loan for which she had dropped an insurance cheque off at the Bank on February 9 2026.","The bank confirmed receiving an insurance cheque for $65149.13. The loan was paid off on March 3 2026 in the amount of $53817.15 with an effective repayment date of February 9 2026 corresponding to the date the funds were received. The remaining $11331.98 was deposited into the client’s source account linked to the loan. The bank adds that once the verification process is complete the repayment should appear in the source account. We also apologized for the frustration and inconvenience.","Resolved","SomeBank","2026-03-02 00:04:41.0","2026-03-09 11:19:19.0","0.0","2026-03-09 00:00:00.0","Resolved-Completed","","","0.0","","","","True","","Loan","Payment","","J7M2C8","False","","","","True","ioow8867xygg16abc45","Our customer went to the branch on Feb 9th with an insurance chq to pay her loan. She was advised at that time that it would take 3-5 business days for the payout to be processed and the refund to be issued. She called back on Friday and was advised to wait another day. Today  Feb 16th  the payout still has not yet been processed","I have advised the customer that there was a recent change in our back end and we are delayed in processing payouts. The time frame is closer to 10 to 15 business days. I have pushed her monthly payment  so allow time for processing and I have also sent a case to RSC requesting to expedite her payout - see case 165110906","2026-02-16 12:24:01.0","2026-03-02 00:04:42.0","","Scotia Plan Loan","CC","Service","0.0","Resolved-TransferredOPCC","Loan","Closure","","5","Process Failure","Delayed Processing","Branch","Operational Issue","Failure to Resolve","Ineffective Action","Partly","Recurring","Medium","An internal back-office change caused a significant delay in processing the customer's loan payout, and the bank failed to meet both the initial and revised timelines provided.","['long delays in processing the payout', 'recent change in our back end and we are delayed', 'time frame is closer to 10 to 15 business days']","ok","```json
{
  ""complaint_theme"": ""Process Failure"",
  ""sub_theme"": ""Delayed Processing"",
  ""touchpoint_mentioned_in_text"": ""Branch"",
  ""root_cause"": ""Operational Issue"",
  ""escalation_reason"": ""Failure to Resolve"",
  ""l1_resolution_gap"": ""Ineffective Action"",
  ""avoidable_at_l1"": ""Partly"",
  ""recurring_pattern"": ""Recurring"",
  ""severity_level"": ""Medium"",
  ""one_sentence_finding"": ""An internal back-office change caused a significant delay in processing the customer's loan payout, and the bank failed to meet both the initial and revised timelines provided."",
  ""evidence_phrases"": [
    ""long delays in processing the payout"",
    ""recent change in our back end and we are delayed"",
    ""time frame is closer to 10 to 15 business days""
  ]
}
```",""
"L2","Complaint","Nuwgxgygpgy-yga4","ioow8867xyellaxyggabc69","2026-03-02 10:58:17.0","66.03","2026-03-02 12:04:18.0","11642.28","","2026-03-02 10:58:17.0","DigitalBanking","Other","2026-03-02 11:06:10.0","Mobile","DigitalBanking","","Customer upset that the mobile app has updated and is no longer working due to outdated mobile device. Customer is requesting previous version be restored as they do not wish to replace device","Respectfully advised the customer we have confirmed that the app requires iOS 17+ or Android 11+ in order to function as outlined in the Digital Access Agreement requiring users to maintain current software versions. The customer was advised to continue banking via the mobile browser if their device cannot update to a supported OS. Apologized for the inconvenience.","Resolved","SomeBank","2026-03-02 12:04:18.0","2026-03-10 15:06:35.0","0.0","2026-03-10 00:00:00.0","Resolved-Completed","","","0.0","","","","True","","Other","Mobile phone banking / Services","","L9W5V3","False","","","","True","ioow8867xyellaxyggabc69","No access to mobile banking APP (old operating system)  For the customer this is not acceptable to block the access when the customer does not have need to upgrade the phone otherwise  Scotiabank is blocking customers from their money","Esc - Customer phone do not support the app  I advise we don't have a way to reverse this option  the customer do not want to get a mobile device and she request to escalate to a higher department and get a callback to the phone # on file.","2026-03-02 10:58:17.0","2026-03-02 12:04:19.0","","ScotiaCard/Self-Service Bkg. Access","CC","Service","0.0","Resolved-TransferredOPCC","Debit Card","Digital Issues – SOL / .COM / SCO","","6","Digital Banking","App Compatibility Issue","Mobile App","Technology Update Policy","Dissatisfaction with Resolution","Incomplete Solution Offered","Partly","Recurring","Medium","The customer is unable to use the mobile app after a mandatory update rendered it incompatible with their older device's operating system.","['app has updated and is no longer working', 'outdated mobile device', 'requesting previous version be restored', 'blocking customers from their money']","ok","```json
{
  ""complaint_theme"": ""Digital Banking"",
  ""sub_theme"": ""App Compatibility Issue"",
  ""touchpoint_mentioned_in_text"": ""Mobile App"",
  ""root_cause"": ""Technology Update Policy"",
  ""escalation_reason"": ""Dissatisfaction with Resolution"",
  ""l1_resolution_gap"": ""Incomplete Solution Offered"",
  ""avoidable_at_l1"": ""Partly"",
  ""recurring_pattern"": ""Recurring"",
  ""severity_level"": ""Medium"",
  ""one_sentence_finding"": ""The customer is unable to use the mobile app after a mandatory update rendered it incompatible with their older device's operating system."",
  ""evidence_phrases"": [
    ""app has updated and is no longer working"",
    ""outdated mobile device"",
    ""requesting previous version be restored"",
    ""blocking customers from their money""
  ]
}
```",""
"L2","Complaint","Nuwgxgygpgy-p","ioow8867xygg16abc7","2026-02-16 08:08:21.0","19673.48","2026-03-02 00:01:49.0","5313.05","","2026-02-16 08:08:21.0","DigitalBanking","ScotiaCard/Self-Service Bkg. Access","2026-02-16 08:11:25.0","Mobile","DigitalBanking","","The customer is reporting an issue with accessing the TransUnion credit score within the app. Each time she attempts to open the credit score section the app freezes and redirects her back to the login screen. After logging in again the same issue occurs resulting in an infinite loop. She is unable to view her credit score as it does not load correctly. Customer is requesting assistance to access her TranUnion Credit Score within the app.","Apologized to customer for frustration. Confirmed that a known technical issue preventing TransUnion credit scores from displaying in the Scotia Mobile Banking App for iOS and apologized for the inconvenience. A fix is scheduled for March 5 2026 with a new version of the app to be released once the correction is implemented and the customer is encouraged to check the Apple App Store for the update when available. In the interim advised customer that they may access their credit score through Scotia Online using a web browser or by using an Android device.","Resolved","SomeBank","2026-03-02 00:01:49.0","2026-03-05 16:34:52.0","0.0","2026-03-05 00:00:00.0","Resolved-Completed","","","0.0","","","","True","","Other","Mobile phone banking / Services","","M3A1K8","False","","","Senior","True","ioow8867xygg16abc7","Cx is inquiring about the TransUnion credit score that its freezing the app every time the customer tries to open to see her credit score  she said that the app freezes and just gives the option to go back to log in  after she go back its keeps saying the same and its an infinite loop","","2026-02-16 08:08:21.0","2026-03-02 00:01:50.0","","Preferred Package","CC","Service","0.0","Resolved-TransferredOPCC","Account","Digital Issues – Mobile App","","7","Digital Banking","App Functionality","Mobile App","System/Platform Issue","Lack of L1 Empowerment/Knowledge","Failure to Diagnose","Yes","Recurring","Low","The complaint escalated because the Level 1 agent was not equipped to identify a known technical issue and provide the customer with the available workarounds.","['app freezes and redirects her back to the login screen', 'infinite loop', 'known technical issue', 'access their credit score through Scotia Online']","ok","```json
{
  ""complaint_theme"": ""Digital Banking"",
  ""sub_theme"": ""App Functionality"",
  ""touchpoint_mentioned_in_text"": ""Mobile App"",
  ""root_cause"": ""System/Platform Issue"",
  ""escalation_reason"": ""Lack of L1 Empowerment/Knowledge"",
  ""l1_resolution_gap"": ""Failure to Diagnose"",
  ""avoidable_at_l1"": ""Yes"",
  ""recurring_pattern"": ""Recurring"",
  ""severity_level"": ""Low"",
  ""one_sentence_finding"": ""The complaint escalated because the Level 1 agent was not equipped to identify a known technical issue and provide the customer with the available workarounds."",
  ""evidence_phrases"": [
    ""app freezes and redirects her back to the login screen"",
    ""infinite loop"",
    ""known technical issue"",
    ""access their credit score through Scotia Online""
  ]
}
```",""
"L2","Complaint","Nuwgxgygpgy-pgg6","ioow8867xygggg7abcella8xy","2026-02-27 18:34:36.0","3950.73","2026-03-02 12:25:20.0","3187.37","","2026-02-27 18:34:36.0","DigitalBanking","ScotiaCard/Self-Service Bkg. Access","2026-02-27 18:39:49.0","ABM","DigitalBanking","","Customer state they visited our Yonge & Bloor branch on February 27 2026 to make a deposit at our Automated Banking Machine (ABM) customer states they deposited CAD$385.00 which the ABM accepted however no receipt was provided and no deposit processed. Customer states they were advised they would need to wait until the ABM was reviewed. Customer is requesting immediate return of funds","Apologized to customer for the experience and the miscommunication. Confirmed Ultimate Package account was credited CAD$385.00 effective March 4 2026.","Resolved","SomeBank","2026-03-02 12:25:20.0","2026-03-04 17:32:42.0","0.0","2026-03-04 00:00:00.0","Resolved-Completed","","Acknowledged customer frustration and provided CAD$385.00 which represents the amount of the ABM deposit issue.","385.0","","","385.0","True","","Other","Other","","M4W0A8","False","","","","True","ioow8867xygggg7abcella8xy","Client came in because he deposited 385$ into the ABM outside the branch and the ABM ate the money and didn't give a receipt (ABM: CZ08). He said he deposited the following bills: one 5$ bill and the rest in 10$ bills.","","2026-02-27 18:34:36.0","2026-03-02 12:25:20.0","","Ultimate Package","Branch-Retail&Small Business","91132","0.0","Resolved-TransferredOPCC","Account","ABM","","8","Transaction Error","ATM Deposit Not Credited","ABM","System/Technology Error","Process Delay","Lack of Empowerment","Yes","Unknown","Medium","A customer's ATM deposit was not credited due to a machine error, and the complaint escalated because the branch failed to provide a timely resolution, forcing the customer to wait several days for their funds.","['deposited CAD$385.00 which the ABM accepted however no receipt was provided', ""ABM ate the money and didn't give a receipt"", 'advised they would need to wait until the ABM was reviewed', 'requesting immediate return of funds']","ok","```json
{
  ""complaint_theme"": ""Transaction Error"",
  ""sub_theme"": ""ATM Deposit Not Credited"",
  ""touchpoint_mentioned_in_text"": ""ABM"",
  ""root_cause"": ""System/Technology Error"",
  ""escalation_reason"": ""Process Delay"",
  ""l1_resolution_gap"": ""Lack of Empowerment"",
  ""avoidable_at_l1"": ""Yes"",
  ""recurring_pattern"": ""Unknown"",
  ""severity_level"": ""Medium"",
  ""one_sentence_finding"": ""A customer's ATM deposit was not credited due to a machine error, and the complaint escalated because the branch failed to provide a timely resolution, forcing the customer to wait several days for their funds."",
  ""evidence_phrases"": [
    ""deposited CAD$385.00 which the ABM accepted however no receipt was provided"",
    ""ABM ate the money and didn't give a receipt"",
    ""advised they would need to wait until the ABM was reviewed"",
    ""requesting immediate return of funds""
  ]
}
```",""
"L2","Complaint","Nuwgxgygpgy-pga6","ioow8867xygg1ellaabcellagg9xy","2026-02-13 16:13:30.0","19.43","2026-03-02 15:37:35.0","1551.07","","2026-02-13 16:13:30.0","RetailProducts","Ultimate Package","2026-02-13 16:32:00.0","RetailDeposits","Charges","","Client is complaining about the service fees on his Ultimate Package Account ending in *686 even though he has the combined minimum balance to waive the service fees.  Clinet is asking for the service fees to be reversed.","Contacted the customer and provided an apology for the inconvenience and frustration this situation has caused. Advised the client he was correctly charged the fees for his Ultimate Package Account for November and December. Provided the client with a one time good will gesture in the amount of CAD$50. Provided the client with the Day to Day Companion Booklet where it explains the fees.  Customer was provided with disclosure to advise of right to have OBSI review concern within six months of Scotiabank’s final response.","Resolved","SomeBank","2026-03-02 15:37:35.0","2026-03-03 17:28:39.0","0.0","2026-03-03 00:00:00.0","Resolved-Completed","","To help restore the clients confidence in Scotiabank we provided a one time good will gesture of CAD$50 to the clients Ultimate Package Account.","50.0","","","50.0","True","","Account","Fees / Charges","","T3K0M5","False","","","","True","ioow8867xygg1ellaabcellagg9xy","Cx has an Ultimate Package Account and a MPSA with a very high balance . the Cx keep getting charged 30.95","Fees was refunded","2026-02-13 16:13:30.0","2026-03-02 15:37:36.0","","Ultimate Package","Branch-Retail&Small Business","23259","0.0","Resolved-TransferredOPCC","Account","Fees / Charges","","9","Fees & Charges","Fee Waiver Misunderstanding","Branch","Customer Misunderstanding","Inadequate L1 Resolution","Lack of Explanation","Yes","Recurring","Low","The customer escalated because the L1 agent refunded a recurring fee without explaining that it was correctly charged based on the product's terms, leading to continued frustration.","['keep getting charged 30.95', 'Fees was refunded', 'he was correctly charged the fees', 'Provided the client with the Day to Day Companion Booklet']","ok","```json
{
  ""complaint_theme"": ""Fees & Charges"",
  ""sub_theme"": ""Fee Waiver Misunderstanding"",
  ""touchpoint_mentioned_in_text"": ""Branch"",
  ""root_cause"": ""Customer Misunderstanding"",
  ""escalation_reason"": ""Inadequate L1 Resolution"",
  ""l1_resolution_gap"": ""Lack of Explanation"",
  ""avoidable_at_l1"": ""Yes"",
  ""recurring_pattern"": ""Recurring"",
  ""severity_level"": ""Low"",
  ""one_sentence_finding"": ""The customer escalated because the L1 agent refunded a recurring fee without explaining that it was correctly charged based on the product's terms, leading to continued frustration."",
  ""evidence_phrases"": [
    ""keep getting charged 30.95"",
    ""Fees was refunded"",
    ""he was correctly charged the fees"",
    ""Provided the client with the Day to Day Companion Booklet""
  ]
}
```",""
